control,npzno,NPZNOah,npal2o3ah,npal2o3,pcnt,pcntah,Sicnt ah,sicnt,control ah
1.716,1.322,1.298,1.224,0.64,1.048,1.214,1.071,0.783,1.26
1.702,1.545,1.22,0.66,0.99,0.916,1.084,1.005,0.99,1.299
1.307,1.55,1.282,1.224,0.76,1.326,1.743,0.849,0.866,0.851
1.495,1.85,1.2,1.089,0.498,0.887,0.867,1.042,0.802,1.013
1.117,1.223,1.285,0.89,0.877,0.967,1.653,0.512,1.174,1.022
1.243,1.019,1.221,0.836,0.806,1.075,1.742,1.088,0.871,0.918
1.373,1.137,1.72,0.948,0.706,1.203,1.487,1.122,1.02,1.485
1.476,1.565,1.23,0.692,0.566,1.493,1.494,0.903,0.768,0.943
1.108,1.223,1.256,1.234,0.717,1.43,1.423,1.476,1.689,0.957
1.126,0.974,1.067,1.081,0.586,1.244,1.421,1.188,1.373,1.137
1.072,1.286,1.406,1.184,0.888,1.298,1.23,0.971,0.876,1.16
1.418,1.443,1.48,0.873,0.587,0.937,1.581,1.392,0.814,0.909
0.916,1.406,1.434,0.66,0.665,1.233,1.785,1.239,0.84,1.137
0.783,1.32,1.252,0.94,0.532,1.026,1.936,0.783,1.008,1.237
1.71,1.251,1.152,0.396,0.839,1.286,1.313,0.783,0.745,2.232
1.107,1.335,1.298,0.536,0.655,1.098,1.54,1.054,0.795,1.442
1.078,1.266,1.179,0.89,0.729,0.961,0.845,0.815,0.676,1.514
1.169,1.654,1.38,1.138,0.817,1.203,1.336,1.378,0.993,1.892
1.304,1.103,1.117,0.948,0.693,1.431,1.194,1.249,0.882,1.207
1.05,1.367,1.164,0.992,0.59,1.206,1.45,1.465,0.831,1.555
1.182,1.441,1.044,0.71,0.785,1.537,1.16,0.667,0.941,1.88
0.848,1.142,1.708,0.612,0.639,0.858,1.011,1.016,0.667,1.448
1.682,1.28,1.221,0.4,0.645,0.868,1.164,0.916,0.795,1.016
1.722,1.16,1.063,0.655,0.788,1.262,1.188,0.991,0.878,0.98
1.266,1.284,0.994,0.705,0.629,1.879,1.452,1.371,1.541,1.556
1.479,0.957,0.982,0.567,0.628,1.056,1.134,0.871,1.21,0.97
1.66,1.127,1.02,1.265,0.85,1.222,1.061,1.07,0.928,1.001
1.682,1.622,1.142,0.644,0.822,1.102,1.093,0.777,0.861,1.227
1.363,0.829,1.041,0.516,0.875,1.773,1.882,1.076,0.841,1.281
1.677,1.167,1.199,0.96,0.724,2.143,1.061,0.927,1.781,1.289
1.26,1.494,1.228,0.894,0.678,1.337,0.945,0.825,0.848,1.326
1.632,1.632,1.48,0.528,0.717,1.017,0.973,0.871,0.899,1.242
1.293,1.247,1.411,1.01,0.785,1.336,1.095,0.871,0.672,1.212
1.428,0.969,1.102,0.968,0.77,1.014,0.911,1.118,0.672,0.996
1.676,1.435,1.092,1.128,0.776,1.328,1.141,1.058,0.739,1.26
1.137,0.991,1.443,0.739,0.715,1.364,1.113,0.927,0.642,1.864
0.934,1.739,1.199,0.664,0.877,1.017,1.266,0.597,0.799,1.523
1.169,1.315,1.2,1.32,0.655,1.466,0.831,0.697,0.697,1.69
1.479,1.581,1.101,0.614,0.59,1.345,1.426,0.655,0.583,1.936
0.972,1.641,1.096,0.947,0.609,1.135,1.255,0.573,0.583,1.362
1.283,1.255,1.144,0.765,0.745,1.523,0.758,0.655,0.685,1.077
1.259,1.043,1.77,1.049,0.763,1.373,1.429,0.811,0.841,1.247
1.126,1.136,1.608,0.742,0.993,0.868,1.268,0.944,0.604,2.18
1.01,1.336,1.257,0.996,0.908,1.096,1.128,0.841,0.47,1.268
1.524,1.165,1.509,0.797,0.601,0.84,1.536,1.107,0.451,1.938
1.495,1.053,1.509,0.853,0.705,1.145,1.336,0.745,0.84,1.73
1.58,1.599,1.257,1.364,0.639,1.355,0.893,0.944,0.727,1.983
1.314,1.402,1.123,1.008,0.785,0.929,1.369,0.952,0.467,1.048
1.401,1.041,1.216,1.162,0.835,0.968,1.333,0.857,,0.982
1.039,1.192,1.535,0.933,0.618,1.314,0.858,0.778,,1.416
1.014,1.217,1.517,0.934,0.538,1.242,1.163,0.783,,1.372
1.354,1.258,1.177,0.846,0.688,1.368,1.192,1.105,,1.449
1.938,1.12,1.404,1.109,0.613,0.985,0.959,1.118,,1.28
1.66,0.906,1.008,0.713,0.475,1.076,0.895,0.912,,1.137
1.685,1.512,1.482,0.974,0.702,1.074,0.824,1.058,,1.547
1.512,1.653,1.373,1.246,1.002,1.427,1.041,,,1.529
2.169,1.09,1.462,1.153,0.705,1.207,1.144,,,
1.411,1.359,1.589,0.626,0.528,1.135,1.452,,,
1.388,0.762,1.314,1.103,0.683,0.978,1.289,,,
1.499,1.283,1.429,0.976,0.77,0.868,1.234,,,
,,,0.617,0.717,,,,,
,,,0.742,0.688,,,,,
,,,1.008,0.601,,,,,
,,,1.04,0.655,,,,,
,,,0.998,0.645,,,,,
,,,0.687,0.736,,,,,
,,,1.209,0.467,,,,,
,,,0.89,0.817,,,,,
,,,1.113,0.785,,,,,
,,,0.792,0.709,,,,,
,,,,0.644,,,,,
,,,,0.609,,,,,
