,state_code,county_code,site_num,parameter_code,poc,latitude,longitude,datum,parameter_name,sample_duration,pollutant_standard,date_local,units_of_measure,event_type,observation_count,observation_percent,arithmetic_mean,first_max_value,first_max_hour,aqi,method_code,method_name,local_site_name,address,state_name,county_name,city_name,cbsa_name,date_of_last_change,sample_id
0,25,25,42,43817,10,42.3295,-71.0826,WGS84,Tetrachloroethylene,24 HOUR,,2016-07-23,Parts per billion Carbon,None,1,100.0,0.0,0.0,0,,136,Instrumental - ENTECH 2000 W/MS/FID,DUDLEY SQUARE ROXBURY,HARRISON AVE,Massachusetts,Suffolk,Boston,Boston-Cambridge-Newton MA-NH,2017-02-14,1
1,36,5,83,43502,2,40.86585,-73.88083,WGS84,Formaldehyde,24 HOUR,,2002-01-08,Parts per billion Carbon,None,1,100.0,2.3,2.3,0,,156,Cartridge DNPH on Silica Heated O3 Denuder - HPLC Photo Diode Array,BOTANICAL GARDEN,200TH STREET AND SOUTHERN BLVD Harding Lab,New York,Bronx,New York,New York-Newark-Jersey City NY-NJ-PA,2013-06-11,2
2,36,29,1014,43218,2,42.998129999999996,-78.89926,WGS84,13-Butadiene,24 HOUR,,2011-09-18,Parts per billion Carbon,None,1,100.0,0.1,0.1,12,,150,SS 6L - PRESSURIZED CANISTER  - CRYOGENIC PRECON:GC/MS,BROOKSIDE TERRACE,192 BROOKSIDE TERRACE WEST,New York,Erie,Tonawanda,Buffalo-Cheektowaga-Niagara Falls NY,2014-04-07,3
3,78,10,8,43817,1,17.708308,-64.793479,WGS84,Tetrachloroethylene,24 HOUR,,2011-03-16,Parts per billion Carbon,None,1,100.0,0.03,0.03,0,,101,CANISTER SUBAMBIENT PRESSURE - MULTI DETECTOR GC,,FAA EMER.PUMP STA.EST.MANNINGS BAY,Virgin Islands,St Croix,Not in a city,,2013-06-10,4
4,37,67,22,88112,5,36.110693,-80.226438,WGS84,Chromium PM2.5 LC,24 HOUR,,2016-06-05,Micrograms/cubic meter (LC),None,1,100.0,0.001,0.001,0,,811,Met One SASS Teflon - Energy dispersive XRF,Hattie Avenue,1300 BLK. HATTIE AVENUE,North Carolina,Forsyth,Winston-Salem,Winston-Salem NC,2017-05-17,5
5,24,5,3001,43831,1,39.310833,-76.47444399999999,WGS84,cis-13-Dichloropropene,24 HOUR,,2015-10-15,Parts per billion Carbon,None,1,100.0,0.0,0.0,0,,150,SS 6L- PRESSURIZED CANISTER - CRYOGENIC PRECON: GC/MS,Essex,600 Dorsey Avenue,Maryland,Baltimore,Essex,Baltimore-Columbia-Towson MD,2016-02-09,6
6,47,105,108,43818,6,35.744539,-84.31705699999999,NAD83,1122-Tetrachloroethane,24 HOUR,,2005-02-15,Parts per billion Carbon,None,1,100.0,0.0,0.0,0,,101,CANISTER SUBAMBIENT PRESSURE - MULTI DETECTOR GC,Loudon Pope site,130 WEBB DRIVE Loudon TN 37774,Tennessee,Loudon,Loudon,Knoxville TN,2013-06-11,7
7,27,53,962,43804,1,44.965241999999996,-93.25475899999999,NAD83,Carbon tetrachloride,24 HOUR,,2013-10-19,Parts per billion Carbon,None,1,100.0,0.1,0.1,0,,113,SS-CANISTER-PRESSURIZED - CAPILLARY GC ITD MASS SPECTRO,Near Road I-35/I-94,1444 E 18th St,Minnesota,Hennepin,Minneapolis,Minneapolis-St. Paul-Bloomington MN-WI,2014-02-19,8
8,40,143,1127,88110,5,36.204902000000004,-95.976537,WGS84,Cadmium PM2.5 LC,24 HOUR,,2005-12-18,Micrograms/cubic meter (LC),None,1,100.0,0.01,0.01,0,,811,Met One SASS Teflon - Energy dispersive XRF,NORTH TULSA - FIRE STATION#24,3520 1/2 N. PEORIA,Oklahoma,Tulsa,Tulsa,Tulsa OK,2013-06-11,9
9,27,53,1007,43502,1,45.03972,-93.29874000000001,WGS84,Formaldehyde,24 HOUR,,2005-06-21,Parts per billion Carbon,None,1,100.0,4.5,4.5,0,,202,SILICA-DNPH-CART-KI O3 SCRUB - HPLC ULTRAVIOLET ABSORPTION,Humboldt Ave,4646 North Humboldt,Minnesota,Hennepin,Minneapolis,Minneapolis-St. Paul-Bloomington MN-WI,2013-06-11,10
