,nid,infectado,antubicacion,ubicacion,tamanio,carga_viral,carga_viral2,infectado_paso,infecte_a,ultdx,ultdy,color,trayectoria
0,0,True,[19.68586326 10.09396194],[19.64846892 10.05935414],1,402396,0,,25,0.3365491094560843,0.31147025444468146,mediumblue,"[(23.93333884252924, 9.30288472353721), (23.377530892719616, 8.656108954622722), (22.458341838129368, 12.872888017520333)]"
1,1,True,[ 3.99919611 21.82256446],[ 3.88979551 22.25920246],1,279062,0,0.0,0,0.9846054041759255,0.561391722029908,cornflowerblue,"[(0.8882844184937151, 22.914270793885088), (6.504883634024619, 21.03409545271258), (5.30608823327875, 22.872192183187373)]"
2,2,True,[13.91069522  9.05195461],[14.24120021  9.32885381],1,408063,0,0.0,0,0.3305049904795082,0.35601325369698267,deeppink,"[(10.287570830923386, 12.98196857782494), (9.866649391918763, 12.979516581364837), (13.813969989526115, 10.250068093962087)]"
3,3,True,[21.52215297  8.58541975],[21.79764234  8.67867501],1,357779,0,0.0,8,0.35420062271697317,0.16785945360847665,goldenrod,"[(24.972165080550095, 4.997109377020692), (24.284105996240466, 7.662232818163674), (22.27147492214133, 9.898780854359103)]"
4,4,True,[16.43540617 20.82321984],[16.53806807 20.39198229],1,334583,0,0.0,0,0.18479141614891548,0.7762275930400725,mediumseagreen,"[(20.576478299114253, 23.00316180247896), (16.762238547746442, 24.937916192072883), (18.028278605240107, 23.880864666692776)]"
5,5,True,[18.14467784  2.13145478],[18.7620516   2.12361044],1,331619,0,0.0,6,0.7937662572779741,0.07059899690196836,peachpuff,"[(20.96515793974905, 1.3536844899246878), (21.802775506137774, 1.7850694030096381), (17.88666752976828, 4.299385934559711)]"
6,6,True,[ 8.18347233 20.59726939],[ 8.27538612 20.73672186],1,308447,0,0.0,0,0.82722407099803,0.41835741184908737,palegreen,"[(8.971078903633535, 22.389496721283816), (7.87491912163358, 19.616607522588588), (7.0407943641662625, 19.623011361715996)]"
7,7,True,[5.6561344 3.4239685],[5.67132507 3.34954383],1,323261,0,0.0,0,0.13671608110144717,0.6698220290607687,lightgoldenrodyellow,"[(6.021329440080602, 1.4554567871033366), (5.927733292917591, 1.468716322766127), (7.068738913393337, 3.3542671009463176)]"
8,8,True,[11.81721889  9.36201349],[11.15993821  9.06660352],1,483088,0,0.0,18,0.845075156369519,0.5317379558245192,lightgreen,"[(17.90251792890819, 11.78388600213835), (15.386131693192137, 9.062488222968158), (12.338611390843221, 10.12382443330327)]"
9,9,True,[22.50054292 19.73001489],[22.57460925 20.60864214],1,431413,0,0.0,0,0.6665969566855947,0.8786272450577298,azure,"[(19.77680509964612, 23.39757230304981), (18.59469480893145, 22.175143375668366), (19.663561051318364, 20.75532717485676)]"
10,10,True,[24.93661123  1.27167322],[24.28567189  0.97920435],1,239979,0,0.0,10,0.6509393335104693,0.8774066259898212,skyblue,"[(11.818186779696838, 0.9771045145841819), (17.75211256092628, 1.6810983652043523), (23.095410929629328, 0.3610142654799458)]"
11,11,True,[12.20216217 16.77680403],[12.01886121 16.60117993],1,358297,0,0.0,0,0.23567265985963015,0.5268723162365495,orangered,"[(7.430543974567998, 19.28588432888936), (5.4206769983914525, 19.567085090940775), (10.657815881591665, 18.626063311107835)]"
12,12,True,[16.91942969 18.02450399],[17.48697176 17.9488268 ],1,464286,0,0.0,12,0.7296969402210738,0.13621893461211954,skyblue,"[(15.412066511157592, 15.897969776218236), (19.31275754328274, 16.93303418334191), (17.440592512307276, 17.38885839149556)]"
13,13,True,[7.33765902 6.88780886],[7.41772407 6.77850243],1,410535,0,0.0,9,0.24019515339402897,0.9837579105741492,ghostwhite,"[(10.640674414617067, 2.8860482405303505), (6.907257616890469, 7.156350267348115), (5.808457514708944, 7.0877717920729655)]"
14,14,True,[12.20573168 24.81608144],[12.82270095 24.76562488],1,287357,0,0.0,12,0.6169692739991092,0.05045656610205029,azure,"[(13.079300579264958, 17.755330456290555), (13.111958348755511, 19.354756544967934), (12.249382147853991, 22.985225939287538)]"
15,15,True,[16.69589367 10.12739423],[16.64073833 10.45939632],1,465194,0,0.0,0,0.16546601181903153,0.5976037757530445,lightseagreen,"[(15.074460328968392, 14.008067069237999), (15.063207886562056, 11.526057853394061), (15.49217743630091, 11.211867748342605)]"
16,16,True,[22.7566101  12.76447912],[23.16489663 13.16294616],1,558493,0,0.0,3,0.7349157579899435,0.39846704185482584,darkcyan,"[(19.792812638056986, 11.243617032553857), (18.661334175748394, 13.28477968896589), (20.190585202389133, 12.911827840523703)]"
17,17,True,[3.15393729 8.56198442],[4.14355399 8.59342947],1,374909,0,0.0,9,0.9896167011315378,0.2830054456933325,mediumorchid,"[(9.910923721216797, 12.478229649348702), (8.685016184700446, 9.842141744305351), (7.076287248295637, 9.070899800950228)]"
18,18,True,[17.01993666  5.38325956],[16.9605464   5.36160046],1,457180,0,0.0,0,0.5345123837296817,0.19493189329245675,darkolivegreen,"[(23.714728664162458, 6.750742094249185), (20.796992148854777, 6.296017117520069), (18.468901138414964, 5.277248905514856)]"
